SEASON,TEAM,TEAM_PIS,TOP3_PIS,DEPTH_PIS,N_PLAYERS
2018-19,2TM,-22.1937,4.2132,5.9719,69
2018-19,3TM,-2.4471,-1.3039,-1.1433,4
2018-19,ATL,-6.1518,1.0386,-3.2612,14
2018-19,BKN,-0.381,2.9665,0.1121,14
2018-19,BOS,5.6847,5.6457,1.9421,14
2018-19,CHA,-0.7202,2.9305,-0.1919,14
2018-19,CHI,-6.6075,-0.0062,-5.016,11
2018-19,CLE,-6.6574,1.4043,-5.1838,12
2018-19,DAL,0.8762,3.2539,-2.3778,10
2018-19,DEN,5.4333,5.7154,0.3637,11
2018-19,DET,0.0504,3.9583,-2.9529,11
2018-19,GSW,5.5446,6.2621,2.8482,15
2018-19,HOU,5.6869,8.1178,-1.7311,11
2018-19,IND,3.7348,3.7036,2.5771,13
2018-19,LAC,0.6092,4.491,-3.8818,9
2018-19,LAL,-0.5311,3.7597,-2.1006,13
2018-19,MEM,-2.8966,3.0031,-3.1035,12
2018-19,MIA,1.8172,2.6837,-0.2764,11
2018-19,MIL,7.9412,6.9862,1.4586,11
2018-19,MIN,-1.426,3.5351,-1.699,13
2018-19,NOP,-0.6301,5.564,-3.4148,12
2018-19,NYK,-7.0884,1.8621,-6.9477,11
2018-19,OKC,2.0657,6.3481,-1.3893,13
2018-19,ORL,1.3344,4.228,-0.8638,12
2018-19,PHI,1.7843,4.2626,-2.4784,9
2018-19,PHX,-6.5879,1.492,-6.3805,11
2018-19,POR,6.4328,5.3789,1.0539,10
2018-19,SAC,-0.0279,2.6816,-1.8819,11
2018-19,SAS,4.1469,3.0186,1.5487,11
2018-19,TOR,5.5528,5.3901,0.1627,9
2018-19,UTA,6.3923,5.8403,2.5712,13
2018-19,WAS,-0.7414,2.5711,-3.3124,10
2019-20,2TM,-21.6572,1.6483,2.005,51
2019-20,3TM,-1.4642,-1.4642,0.0,2
2019-20,ATL,-6.5022,2.8798,-7.7133,11
2019-20,BKN,-1.7432,4.7793,-0.1397,15
2019-20,BOS,6.623,5.2188,4.815,14
2019-20,CHA,-6.007,0.5126,-2.9588,13
2019-20,CHI,-2.2694,2.0412,-1.2464,15
2019-20,CLE,-6.6086,1.2755,-7.8841,10
2019-20,DAL,6.4817,5.1737,2.7306,13
2019-20,DEN,4.432,4.6988,0.6744,11
2019-20,DET,-3.9476,1.9934,-4.0637,11
2019-20,GSW,-8.7742,-0.1946,-8.5795,10
2019-20,HOU,3.3817,5.9436,-0.7989,12
2019-20,IND,1.3275,3.2325,1.054,14
2019-20,LAC,8.2428,6.6432,2.373,11
2019-20,LAL,6.1412,7.9884,-0.1662,12
2019-20,MEM,0.9901,2.9436,-0.6077,11
2019-20,MIA,3.4041,4.8241,0.3333,12
2019-20,MIL,9.2392,7.8186,3.4948,13
